solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_197_6,1.95108404123539,0.965909244134115,0.0151990422344287,1.111806009862,0.943231409412215,0.0358909826906852,0,0.0276477707971142,0.224987535831125,0.985824248470613,1,90817.0095522343,0.145938873291016,242.340850830078,6,197,1,1,1182,FALSE,TRUE,15
1_198_1,1.98829045720436,0.99168726496221,0.0144714527404511,1.35809728782703,0.907036041150252,0.0795343173475912,0,0.024580308858056,0.244500208714679,0.988795292527833,1,90845.1141481888,0.1529381275177,242.742671966553,1,198,1,1,1183,FALSE,TRUE,7
1_198_2,1.97765092147409,0.978196710671378,0.00517223275082923,0.986272820526386,0.888708422045476,0.0734979222455996,0,0.0329106005598492,0.16636045323303,0.979913814630263,1,99696.8214137499,0.166845798492432,242.910509824753,2,198,1,1,1184,FALSE,TRUE,9
1_198_3,1.9852339193414,0.989453571194453,0.0109897390927289,1.01783915203462,0.787200718705212,0.05616204190438,0,0.03318326555556,0.174665224126681,0.979579606973615,1,99703.0987805549,0.171331882476807,243.084841012955,3,198,1,1,1185,FALSE,TRUE,18
1_198_4,1.98759412234741,0.965469813462153,0.00361721502207777,1.03904030973465,0.768317033487457,0.0390418769274494,0,0.0327625790472649,0.185494437395666,0.980094090970384,1,99693.4846520178,0.170920848846436,243.256760835648,4,198,1,1,1186,FALSE,TRUE,23
1_198_5,1.94870049167336,0.971818278739543,0.0122829058701046,0.913409621327085,0.88649203500758,0.14469825504016,0,0.038809569421848,0.121441052593498,0.972067905654668,1,109395.583088778,0.154929876327515,243.412690877914,5,198,1,1,1187,FALSE,TRUE,27
1_198_6,1.99723733906915,0.980881873196978,0.00111572186812974,0.959604662666725,0.781608343672745,0.0788557969284793,0,0.0350327487799058,0.143181649125573,0.977239893968376,1,99707.5036152513,0.183925867080688,243.598615884781,6,198,1,1,1188,FALSE,TRUE,13
1_199_1,1.75847825665306,0.978986002956365,0.0195279373970656,1.43909427123658,0.985831887200184,0.00498434276145872,0,0.0222296527383063,0.325015931632245,0.990835870699178,1,90738.2078939334,0.152933835983276,244.023424863815,1,199,1,1,1189,FALSE,TRUE,36
1_199_2,1.96441092546137,0.958090160132817,0.0172453729924049,0.607926891247934,0.828210187625905,0.12304733692856,0,0.0452398559361876,0.00010717632926933,0.962045062732046,1,109386.954354447,0.160927057266235,244.185350894928,2,199,1,1,1190,FALSE,TRUE,3
1_199_3,1.9961345119683,0.966818603831523,0.0234532398148175,0.907966890606782,0.945070513401375,0.0660379612915938,0,0.0344645864651783,0.155654032140269,0.977972155851896,1,99677.2154392197,0.195083141326904,244.381433963776,3,199,1,1,1191,FALSE,TRUE,15
1_199_4,1.9678000093958,0.981471870569887,0.0289467470526772,1.35101980797253,0.953097230663387,0.0360667293622935,0,0.023246341378493,0.268978811450173,0.989978445932151,1,90810.1633628346,0.199912071228027,244.583344936371,4,199,1,1,1192,FALSE,TRUE,19
1_199_5,1.96723247603848,0.992592200896416,0.00767598545912673,1.85264982044812,0.976949895123807,0.0268078071221232,0,0.0211177194953762,0.328556640475961,0.991729726248934,1,90843.0250263331,0.18991494178772,244.774258852005,5,199,1,1,1193,FALSE,TRUE,29
1_199_6,1.97136791663631,0.956492225767185,0.00124733242908535,1.43586759424127,0.956572668097792,0.0248973255687944,0,0.0212990408619925,0.277971413115557,0.991587095773237,1,90826.5426838252,0.186914920806885,244.962173938751,6,199,1,1,1194,FALSE,TRUE,7
1_19_1,1.19433611004823,0.454149656630288,0.034362181184801,1.53271592793884,0.744020537029847,0.156652153560667,0,0.0411678657923934,0.443618121831438,0.968570131964482,1,108342.25356218,0.140937089920044,19.9290239810944,1,19,1,1,109,FALSE,FALSE,
1_19_2,1.22985249415298,0.682773754569194,0.046006089403033,1.72658941083605,0.464353459167155,0.120204869406182,0,0.0429450067488128,0.409835338068313,0.965798023671344,0,108617.139764903,0.140933990478516,20.0719568729401,2,19,1,1,110,FALSE,FALSE,
1_19_3,1.4725674187923,0.45029312010074,0.0983143895846235,1.12054566597894,0.644694395556428,0.00289057261139559,0,0.0462068064224219,0.397703276469642,0.960405236057494,0,108047.85219128,0.145773887634277,20.2197299003601,3,19,1,1,111,FALSE,FALSE,
1_19_4,1.36059652154332,0.59191852889007,0.0391017958185698,0.837527199176418,0.876971858736548,0.126303046589191,0,0.0458337036458037,0.286141476944414,0.961042080479475,0,108580.387406073,0.164925098419189,20.3856549263001,4,19,1,1,112,FALSE,TRUE,80
1_19_5,1.4998547440591,0.445352032239522,0.0314965059207082,0.901741193314871,0.679880693749785,0.160187881769803,0,0.0495203157206255,0.270613324328039,0.954522910621561,0,108359.261914165,0.142935037612915,20.5295920372009,5,19,1,1,113,FALSE,TRUE,84
1_19_6,1.39805330513956,0.842181293138124,0.0526436716443402,1.49807126230961,0.584872355134362,0.109130697255977,0,0.0372592119039995,0.361199018164569,0.974254983138861,1,99178.4128717886,0.143934965133667,20.6745269298553,6,19,1,1,114,FALSE,FALSE,
1_1_1,0.781653681880954,0.540256591975705,0.113397858919253,0.981369551672566,0.584536054371995,0.125740191955601,0,0.0523413199043718,0.466730935154669,0.949193978023751,0,107914.79356298,0.142935037612915,0.142935037612915,1,1,1,1,1,FALSE,FALSE,
1_1_2,1.75753452300651,0.613157936312869,0.149250578815986,0.768641066525028,0.790620721505443,0.0592219513743648,0,0.0523833043686874,0.244673309962214,0.949112439418453,0,98214.8185915384,0.142935991287231,0.286870956420898,2,1,1,1,2,FALSE,FALSE,
1_1_3,0.805325216904755,0.608914362909691,0.108899458333787,1.03931137908994,0.630403721992001,0.121912183722143,0,0.0501059876695779,0.468750639087057,0.953440843275374,0,108000.686809718,0.156928062438965,0.444798946380615,3,1,1,1,3,FALSE,FALSE,
1_1_4,1.18477879068674,0.595792818696719,0.158528535347789,1.27631876157022,0.490344721152703,0.0535593282949615,0,0.0528684582838426,0.434575651723699,0.948165472582753,0,107436.403233357,0.140939950942993,0.588738918304443,4,1,1,1,4,FALSE,FALSE,
1_1_5,1.5861886988696,0.55852946004901,0.141729739998121,0.634620187018062,0.570247003313649,0.116949108665,0,0.0580566692106773,0.182669770660696,0.937492794453573,0,107756.211209751,0.145940065383911,0.73567795753479,5,1,1,1,5,FALSE,FALSE,
1_1_6,0.982829754453668,0.828604457459081,0.15050076771929,1.2023192264306,0.610068108515218,0.111225976291457,0,0.0507933119012901,0.445157473593813,0.95215474055117,0,107647.6786333,0.161931991577148,0.899609804153442,6,1,1,1,6,FALSE,FALSE,
1_200_1,1.91291224836536,0.913041108994651,0.0355881148875747,0.620247749529083,0.891505377651118,0.0351076776237596,0,0.0446175552560572,0.0890626509607239,0.963082065771711,0,99576.2168583428,0.177919864654541,245.365991830826,1,200,1,1,1195,FALSE,TRUE,38
1_200_2,1.9688019492184,0.953397444056316,0.00649292785123937,0.764907020889797,0.929074101226374,0.0854614782379795,0,0.0387207140645572,0.0959828540514546,0.972195661517933,1,99676.2593395897,0.16092586517334,245.528916835785,2,200,1,1,1196,FALSE,TRUE,12
1_200_3,1.9922237653162,0.986928957741775,0.0177962794717245,1.08895841457227,0.97517325902008,0.0621331898922052,0,0.0292565092848879,0.202978159138363,0.984126566889642,1,99697.0468320286,0.15293288230896,245.68384885788,3,200,1,1,1197,FALSE,TRUE,9
1_200_4,1.99542520942189,0.966655333560017,0.00314270350687632,1.08468872824438,0.857137454578144,0.124092270661729,0,0.0333071414767862,0.165620201471242,0.97942686030743,1,99697.4429263146,0.145934104919434,245.830781936646,4,200,1,1,1198,FALSE,TRUE,12
1_200_5,1.94559679566444,0.945692812118704,0.00405009502881753,1.38136319877734,0.758403202940335,0.0864920500180969,0,0.0281344507262063,0.242207034492399,0.985320788329096,1,99662.6045442698,0.169923067092896,246.001704931259,5,200,1,1,1199,FALSE,TRUE,29
1_200_6,1.97249457525433,0.9844181942348,0.00326517677970045,0.769388518840865,0.734598113511141,0.100213780127656,0,0.0407631505090226,0.0702325282471219,0.969185059298955,1,99699.6388979943,0.146934032440186,246.150637865067,6,200,1,1,1200,FALSE,TRUE,11
1_201_1,1.99229713350609,0.980951371112997,3.42962471319967e-05,1.25025823924438,0.739761120512317,0.0763046718094412,0,0.028633634308189,0.207652120887969,0.984795266949637,1,90848.3223301027,0.147933959960938,246.526468992233,1,201,1,1,1201,FALSE,TRUE,9
1_201_2,1.956182255971,0.935819169316422,0.0100627572969092,0.66648657274248,0.916165711900512,0.127626200130069,0,0.0434405049856344,0.0349340613260231,0.965004227727991,1,109373.273617708,0.140936136245728,246.669404029846,2,201,1,1,1202,FALSE,TRUE,18
1_201_3,1.96747803419519,0.977107042669307,0.0171687614422329,1.84352276563398,0.988331571643479,0.0427945620083047,0,0.02155181732683,0.329265537956523,0.99138622256713,1,90827.3108412419,0.144946813583374,246.816347837448,3,201,1,1,1203,FALSE,TRUE,36
1_201_4,1.99610087385796,0.993727214768558,0.0100065407319475,0.655156725806807,0.921400656530263,0.0894146216239835,0,0.0424527470169646,0.0365792725254014,0.966577614299683,1,109431.722672129,0.178920030593872,246.997256994247,4,201,1,1,1204,FALSE,TRUE,7
1_201_5,1.9796461769447,0.951289644824771,0.00833884260277225,1.11682198909711,0.819850466959979,0.180641966573341,0,0.0371742177365802,0.155085520220031,0.974372306097302,1,99678.3868724005,0.149935960769653,247.148191928864,5,201,1,1,1205,FALSE,TRUE,38
1_201_6,1.98378297558145,0.969652391925204,0.0108519149926959,1.10749291376929,0.988859180100798,0.0190882060224253,0,0.0267260096118247,0.225688359735268,0.986753715088839,1,90834.401109723,0.202911853790283,247.355101823807,6,201,1,1,1206,FALSE,TRUE,8
